,count,mean,std,min,25%,50%,75%,max
AÑO,100.0,2022.0,0.0,2022.0,2022.0,2022.0,2022.0,2022.0
MES,100.0,5.66,3.3339999333466634,1.0,2.0,5.0,9.0,12.0
CONGLOME,100.0,5061.37,29.40509644550918,5007.0,5038.0,5066.0,5087.0,5120.0
VIVIENDA,100.0,58.73,42.637976859919966,1.0,22.0,52.0,83.25,198.0
HOGAR,100.0,11.0,0.0,11.0,11.0,11.0,11.0,11.0
UBIGEO,100.0,10404.8,227.81766588412074,10101.0,10202.0,10401.0,10701.0,10705.0
DOMINIO,100.0,6.61,1.0139930069688934,4.0,7.0,7.0,7.0,7.0
ESTRATO,100.0,5.63,1.5152757524822358,4.0,4.0,5.0,7.0,8.0
PERIODO,100.0,2.27,0.8391313449880263,1.0,2.0,2.0,3.0,4.0
TIPENC,100.0,2.9,0.43808582711518085,1.0,3.0,3.0,3.0,3.0
FECENT,100.0,20220581.67,331.9629422849862,20220113.0,20220219.0,20220518.5,20220901.0,20221209.0
RESULT,100.0,1.01,0.09999999999999999,1.0,1.0,1.0,1.0,2.0
P22,100.0,1.83,0.3775251680686369,1.0,2.0,2.0,2.0,2.0
P24A,100.0,2.71,1.0664298979645719,1.0,2.0,3.0,3.0,4.0
P24B,100.0,2.31,0.8954994092232512,1.0,1.0,3.0,3.0,3.0
P25$1,100.0,0.16,0.3684529491774707,0.0,0.0,0.0,0.0,1.0
P25$2,100.0,0.56,0.4988876515698589,0.0,0.0,1.0,1.0,1.0
P25$3,100.0,0.15,0.3588702812826367,0.0,0.0,0.0,0.0,1.0
P25$4,100.0,0.63,0.48523658709390977,0.0,0.0,1.0,1.0,1.0
P25$5,100.0,0.27,0.4461960433384737,0.0,0.0,0.0,1.0,1.0
P101,100.0,1.31,1.0019677609281619,1.0,1.0,1.0,1.0,5.0
P102,100.0,3.87,2.2003443256715873,1.0,3.0,3.0,4.75,9.0
P103,100.0,5.1,0.9692233691951196,2.0,5.0,5.0,6.0,6.0
P103A,100.0,3.93,1.357768519864617,1.0,4.0,4.0,4.0,7.0
P104,100.0,3.07,1.5586513206596078,1.0,2.0,3.0,4.0,8.0
P104A,100.0,1.5,1.0683698523517693,0.0,1.0,1.0,2.0,6.0
P105A,100.0,2.51,1.473640445161628,1.0,2.0,2.0,2.0,6.0
P107B1,100.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
P107B2,100.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
P107B3,100.0,1.97,0.1714466079977653,1.0,2.0,2.0,2.0,2.0
P107B4,100.0,1.99,0.09999999999999999,1.0,2.0,2.0,2.0,2.0
P110,100.0,1.83,2.0599843090507637,1.0,1.0,1.0,1.0,8.0
P110A,100.0,2.81,0.5630903187506486,1.0,3.0,3.0,3.0,3.0
P110A_MODIFICADA,100.0,0.09800000131130224,0.3247314376482438,0.0,0.0,0.0,0.0,1.79999995231628
P110D,100.0,1.32,0.4688261722621507,1.0,1.0,1.0,2.0,2.0
P110E,100.0,2.21,1.2333333333333334,1.0,1.0,3.0,3.0,7.0
P111A,100.0,3.68,2.7150162303958942,1.0,1.0,4.0,6.0,9.0
P1121,100.0,0.75,0.4351941398892446,0.0,0.75,1.0,1.0,1.0
P1123,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1124,100.0,0.04,0.19694638556693236,0.0,0.0,0.0,0.0,1.0
P1125,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1126,100.0,0.24,0.42923469599092784,0.0,0.0,0.0,0.0,1.0
P1127,100.0,0.02,0.14070529413628968,0.0,0.0,0.0,0.0,1.0
P1131,100.0,0.05,0.2190429135575903,0.0,0.0,0.0,0.0,1.0
P1132,100.0,0.62,0.4878317312145634,0.0,0.0,1.0,1.0,1.0
